GENERAL LOCATION LONG,SITE_NAME,ENTRY COMPLETE (Yes or No),DEPLOYED? ACTIVELY COLLECTING DATA? (yes or no),AGENCY,PERSON ACCOUNTABLE,RIVER_KM(RKM),GATE_TYPE,INSTRUMENT_SERIAL_NO.,SYSTEM_MAKE,SYSTEM_MODEL,FILENAME,FIRMWARE_VERSION ,AUTO(A)_OR_REALTIME(RT) ,MODEM_IP_ADDRESS,HYDROPHONE_LATITUDE,HYDROPHONE_LONGITUDE,SHORE_POINT_LATITUDE,SHORE_POINT_LONGITUDE,RECEIVER_CLOCK_TIME_SYSTEM,BattStart_DateTime,DAYS_SINCE_POWER_UP,IN_WATER_DATETIME,OUT_WATER_DATETIME,BOTTOM_DEPTH(M),BOTTOM_DEPTH (FT),HYDROPHONE_DEPTH(M),HYDROPHONE_DEPTH(FT),BEACON_TAG_ID (Dec format),BEACON_PRI (SECS),BEACON_LAT,BEACON_LONG,BEACON_TAG_IN_WATER_DATE,BEACON_TAG_OUT_WATER_DATE,MOORING_METHOD,DEPLOYED_BY,RECOVERED_BY,JUSTIFICATION,EXPECTED_STUDY_DURATION,FUNDING_SOURCE,SPECIES_TAGGED,NOTES_DEPLOYMENT_RECOVERY_DATA ,,
Blw_Paynes_Ck,BlwPaynes1,Y,N,USFWS,Poytress,476.259,S,18141,ATS,SR3001,SR18141_220126_112526.csv,6.23,A,,40.25522,-122.17307,40.25525,-122.17307,PST,01/26/2022 11:25,100,1/26/2022 13:37:00,3/31/2022 11:20:00,3.1,10.2,2.1,6.9,,,40.25525,-122.17307,1/26/2022 13:37:00,3/31/2022 11:20:00,Shore Cable,"AD, LL","CCP, AD",RSM,100,USBR-CAT,CS,Test Tag A445 applied and detected at start up 01/26/2022 11:32; Test tag not applied prior to deployment; Receiver flashing green when recovered; Test tag A39A applied and detected at recovery 03/31/2022 11:20; Battery died 04/21/2022 lasted 85 days; Plu,,
Blw_Paynes_Ck,BlwPaynes1,Y,N,USFWS,Poytress,476.259,S,21134,ATS,SR3001,SR21134_220330_130024.csv,6.49,A,,40.25521,-122.17307,40.25525,-122.17307,PST,03/30/2022 13:00,100,3/31/2022 11:40:00,6/6/2022 15:43:00,3.1,10.2,2.1,6.9,,,40.25525,-122.17307,3/31/2022 11:40:00,6/6/2022 15:43:00,Shore Cable,"AD, CCP","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A39 applied and detected at start up 03/30/2022 13:08; Test tag A39A applied and detected prior to deployment 03/31/2022 11:23; Test tag A3EA applied and detected at recovery 06/06/2022 15:48; Test tag A3EA applied and detected during post recove,,
Blw_Paynes_Ck,BlwPaynes2,Y,N,USFWS,Poytress,476.08,S,1900002,Lotek,WHS4350S,L2022_1900002.R1.JST,8,A,,40.25452,-122.17108,40.25455,-122.1711,PST,01/26/2022 11:00,100,1/26/2022 13:56:00,3/31/2022 11:46:00,4.0,13.1,3.0,9.8,2,30,40.25455,-122.1711,1/26/2022 13:56:00,3/31/2022 11:46:00,Shore Cable,"AD, LL","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A445 applied but not detected at start up 01/26/2022 11:06; Test tag not applied prior to deployment - did not have test tag; Flashing red when recovered; Test tag A39A applied and detected at recovery 03/31/2022 11:50; Test tag A39a applied and,,
Blw_Paynes_Ck,BlwPaynes2,Y,N,USFWS,Poytress,476.08,S,2000042,Lotek,WHS4350S,L2022_2000042.R2.JST,8.6,A,,40.25453,-122.17113,40.25455,-122.1711,PST,03/30/2022 13:38,100,3/31/2022 11:55:00,6/6/2022 15:54:00,4.0,13.1,3.0,9.8,42,30,40.25455,-122.1711,3/31/2022 11:55:00,6/6/2022 15:54:00,Shore Cable,"AD, CCP","AD, LL",RSM,100,USBR-CAT,CS,Test tag A39A applied and detected at start up 03/30/2022 13:47; Test tag A39A applied and detected prior to deployment 03/31/2022 11:52; Tets tag A3EA applied and detected at recovery 06/06/2022 15:53; Test tag A3EA applied during post recovery 06/09/202,,
Abv_Altube,Abv_Altube1,Y,N,USFWS,Poytress,460.4,S,18138,ATS,SR3001,SR18138_211206_132457.csv,6.23,A,,40.15354,-122.1889,40.15345,-122.18861,PST,12/06/2021 13:48,100,12/8/2021 15:04:00,3/8/2022 9:58:00,2.3,7.6,1.3,4.3,,,40.15345,-122.18861,12/8/2021 15:04:00,3/8/2022 9:58:00,Shore Cable,"AD, DR","AD, AH",RSM,100,USBR-CAT,CS,Anchor point moved upstream 50 ft. previous anchoring tree was unstable due to erosion; Test tag A376 applied and detected at start up 12/06/2021 14:21; Test tag applied and detected prior to deployment 12/08/2021 14:33; Not flashing when recovered; Parti,,
Abv_Altube,Abv_Altube1,Y,N,USFWS,Poytress,460.4,S,19054,ATS,SR3001,SR19054_220307_120539.csv,6.41,A,,40.15373,-122.18856,40.15345,-122.18861,PST,03/07/2022 12:07,100,3/8/2022 10:10:00,5/15/2022 11:38:00,2.1,6.9,1.5,4.9,,,40.15345,-122.18861,3/8/2022 10:10:00,5/15/2022 11:38:00,Shore Cable,"AD, AH","AD, CCP",RSM,100,USBR-CAT,CS,Test Tag A376 applied and detected at start up 3/7/22 12:24; Test tag A376 applied and detected prior to deployment 03/08/2022 10:05; Buoyancy tube hose clamps loose - tube was not properly positioned - tilt was between 1 - 20° throughout deployement with,,
Abv_Altube,Abv_Altube1,Y,N,USFWS,Poytress,460.4,S,20130,ATS,SR3001,SR20130_220513_142258.csv,6.43,A,,40.15373,-122.18856,40.15345,-122.18861,PST,05/13/2022 14:24,100,5/15/2022 11:51:00,7/10/2022 10:33:00,2.1,6.9,1.5,4.9,,,40.15345,-122.18861,5/15/2022 11:51:00,7/10/2022 10:33:00,Shore Cable,"AD, CCP","AD, LL, CP",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected at start up 05/13/2022 14:48; Test tag A425 applied and detected prior to deployment 05/15/2022 11:40; Test tag A3EA applied and detected at recovery 07/10/2022 10:36; Test tag A3EA applied and detected during post recov,,
Abv_Altube,Abv_Altube3,Y,N,USFWS,Poytress,460.4,S,1900002,Lotek,WHS4350S,L2022_1900002.R2.JST,8,A,,40.15467,-122.18856,40.15474,-122.18838,PST,05/14/2022 17:50,100,5/15/2022 12:09:00,7/10/2022 10:24:00,1.5,4.9,1.2,3.9,2,30,40.15474,-122.18838,5/15/2022 12:09:00,7/10/2022 10:24:00,Shore Cable,"AD, CCP","CP, LL, AD",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected at start up 05/14/2022 18:09; Test tag A425 applied and detected prior to deployment 05/15/2022 12:00; Test tag A3EA applied and detected at recovery 07/10/2022 10:20; Test tag A3EA applied and detected during post recov,,
Abv_Altube,Abv_Altube3,Y,N,USFWS,Poytress,460.4,S,2000001,Lotek,WHS4350S,L2022__2000001.R1.JST,8.1,A,,40.15467,-122.18856,40.15474,-122.18838,PST,03/07/2022 13:30,100,3/8/2022 9:50:00,5/15/2022 11:57:00,1.5,4.9,1.2,3.9,2,30,40.15474,-122.18838,3/8/2022 9:50:00,5/15/2022 11:57:00,Shore Cable,"AD, AH","AD, CCP",RSM,100,USBR-CAT,CS,Test Tag A376 applied and detected at start up 03/07/2022 14:23:23; Test tag A376 applied and detected prior to deployment 03/08/2022 09:46; Receiver flashing when recovered; Test tag A425 applied and detected at recovery 05/15/2022 12:00; Test tag A425 a,,
Abv_Altube,Abv_Altube3,Y,N,USFWS,Poytress,460.4,S,2000039,Lotek,WHS4350S,L2022_2000039.R1.JST,8.6,A,,40.15461,-122.18833,40.15474,-122.18838,PST,12/07/2021 14:04,100,12/8/2021 14:31:00,3/8/2022 9:46:00,1.8,5.9,1.1,3.6,39,30,40.15474,-122.18838,12/8/2021 14:31:00,3/8/2022 9:46:00,Shore Cable,"AD, DR","LL, AD",RSM,100,USBR-CAT,CS,During startup Beacon Interval set to 30 sec and False Positive Filter set to On; batteries died 02/13/2022 after only 68 days; Test tag A3B5 detected at start up 12/17/2021 14:17 and prior to deployment 12/08/2021 14:28; receiver not flashing when recove,,
Blw_Salt_RT,SaltCk1RT,Y,N,USFWS,Poytress,457.319,S,187030,Teknologic,SSR,,,RT,,40.14582,-122.15772,40.14551,-122.15768,PST,01/14/2022 11:34,,1/14/2022 12:56:00,6/16/2022 8:45:00,4.2,13.8,3.5,11.5,30,33,40.14551,-122.15768,1/14/2022 12:56:00,6/16/2022 8:45:00,Crab float,"DR, SV",DR,RSM,,USBR-CAT,CS,Real time receiver; Solar powered rechargeable battery; Transducer inside crab float; Beacon tag is FF30 with PRI of 33 secs - will be changed to 63.0 secs to reduce size of data files; Test tag A3B5 applied and detected at start up 01/14/2022 11:36:22; T,,
Blw_Salt,SaltCk1,Y,N,USFWS,Poytress,456.889,S,16050,ATS,SR3000,16050___211206_132410.csv,4.09,A,,40.14626,-122.1526,40.14641,-122.15264,PST,12/06/2021 13:23,100,12/8/2021 14:13:00,3/8/2022 9:15:00,6.3,20.7,5.5,18.0,,,40.14641,-122.15264,12/8/2021 14:13:00,3/8/2022 9:15:00,Shore cable,"AD, DR","AD, AH",RSM,100,USBR-CAT,CS,Synced clock twice during start up; Test tag A376 applied and detected at start up 12/06/2021 13:28:59; Test tag A3B5 applied and detected prior to deployment 12/08/2021 14:09; Flashing when recovered; Test tag A376 applied and detected at recovery 03/08/,,
Blw_Salt,SaltCk1,Y,N,USFWS,Poytress,456.889,S,17114,ATS,SR3000,17114___220307_120750.csv,4.1,A,,40.14641,-122.15264,40.14641,-122.15264,PST,03/07/2022 12:07,100,3/8/2022 9:38:00,5/15/2022 10:47:00,4.0,13.1,3.3,10.8,,,40.14641,-122.15264,3/8/2022 9:38:00,5/15/2022 10:47:00,Shore Cable,"AD, AH","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A376 applied and detected at start up 03/07/2022 12:21; Test tag A376 applied and detected prior to deployment 03/08/2022 09:20; Receiver flashing when recovered; Test tag A425 applied and detected at recovery 05/15/2022 10:52; Test tag A425 ap,,
Blw_Salt,SaltCk1,Y,N,USFWS,Poytress,456.889,S,21142,ATS,SR3001,SR21142_220514_160852.csv,6.49,A,,40.14641,-122.15264,40.14641,-122.15264,PST,05/14/2022 16:08,100,5/15/2022 10:50:00,7/10/2022 9:52:00,4.0,13.1,3.3,10.8,,,40.14641,-122.15264,5/15/2022 10:50:00,7/10/2022 9:52:00,Shore Cable,"CCP, AD","AD, LL, CP",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/14/2022 16:25; Test tag A425 applied and detected prior to deployment 05/15/2022 10:50; Flashing when recovered; Test tag A3EA applied and detected at recovery 07/10/2022 09:52; Test tag A3EA applied and d,,
Blw_Salt,SaltCk2,Y,N,USFWS,Poytress,456.888,S,17118,ATS,SR3000,17118___220307_120753.csv,4.1,A,,40.1461,-122.15194,40.1461,-122.15194,PST,03/07/2022 12:07,100,3/8/2022 9:12:00,5/15/2022 11:06:00,4.6,15.1,3.6,11.8,,,40.1461,-122.15194,3/8/2022 9:12:00,5/15/2022 11:06:00,Shore Cable,"AD, AH","AD, AH",RSM,100,USBR-CAT,CS,Test tag A376 applied and detected at start up 03/07/2022 12:19; Test tag A376 applied and detected prior to deployment 03/08/2022 08:56; Receiver did not appear to be flashing when recovered; Test tag A425 applied and detected at recovery 05/15/2022 11:1,,
Blw_Salt,SaltCk2,Y,N,USFWS,Poytress,456.888,S,21140,ATS,SR3001,SR21140_220514_171243.csv,6.49,A,,40.1461,-122.15194,40.1461,-122.15194,PST,05/14/2022 17:13,100,5/15/2022 11:23:00,7/10/2022 10:02:00,4.6,15.1,3.6,11.8,,,40.1461,-122.15194,5/15/2022 11:23:00,7/10/2022 10:02:00,Shore Cable,"AD, CCP","AD, LL, CP",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/14/2022 17:30; Test tag A425 applied and detected prior to deployment 05/15/2022 11:06; Test tag A3EA applied and detected at recovery 07/10/2022 10:04; Test tag A3EA applied and detected during post recov,,
Blw_Salt,SaltCk2,Y,N,USFWS,Poytress,456.888,S,156019,Teknologic,LER - auto 120d,No Data,3.4.43,A,,40.14606,-122.15192,40.1461,-122.15194,PST,12/08/2021 7:48,100,12/8/2021 14:03:00,3/8/2022 9:01:00,5.7,18.7,6.9,22.6,,,40.1461,-122.15194,12/8/2021 14:03:00,3/8/2022 9:01:00,Shore Cable,"AD, DR","AD, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied and detected at start up 12/8/2021 08:07:36 detections observed in Tag Dat mode of JSATs Utility; Test tag A3B5 applied but unknown if detected prior to deployment 12/08/2021 13:56; Not flashing when recovered; Batteries too low to r,,
Blw_Salt_RT,SaltCk2RT,Y,N,USFWS,Poytress,456.558,S,187031,Teknologic,SSR,,,RT,,40.14453,-122.14875,40.14475,-122.14853,PST,01/19/2022 8:54,,1/19/2022 13:28:00,1/26/2022 12:28:00,3.0,9.8,2.5,8.2,31,63.1,40.14475,-122.14853,1/19/2022 13:28:00,1/26/2022 12:28:00,Crab float,"DR, BL, LL, CCP","DR, BL",RSM,,USBR-CAT,CS,Real time receiver; Solar powered rechargeable battery; Transducer inside crab float; Beacon tag is FF31 with PRI of 63.1 secs; Test tag A445 applied and detected at start up 01/19/2022 8:54; Test tag A445 applied and detected prior to deployment 01/19/20,,
Blw_Salt_RT,SaltCk2RT,Y,N,USFWS,Poytress,456.558,S,187037,Teknologic,SSR,,,RT,,40.14453,-122.14875,40.14475,-122.14853,PST,01/26/2022 12:38,,1/26/2022 12:38:00,6/16/2022 8:00:00,3.0,9.8,2.5,8.2,37,63.7,40.14475,-122.14853,1/26/2022 12:38:00,6/16/2022 8:00:00,Crab float,"DR, BL",DR,RSM,,USBR-CAT,CS,Real time receiver; Solar powered rechargeable battery; Transducer inside crab float; Receiver started and initialized on site at SaltCk2RT - replacing 187031 which had data transmission problems; Beacon tag is FF37 with PRI of 63.7 secs; Test tags A39A a,,
Mill_Ck_Conf,MillConf2,Y,N,USFWS,Poytress,441.319,S,16046,ATS,SR3000,16046___211206_132826.csv,2.82,A,,40.03384,-122.11942,40.034014,-122.119529,PST,12/06/2021 13:24,100,12/8/2021 12:43:00,3/8/2022 11:39:00,2.7,8.9,1.8,5.9,,,40.034014,-122.119529,12/8/2021 12:43:00,3/8/2022 11:39:00,Shore Cable,"DR, AD","AD, AH",RSM,100,USBR-CAT,CS,Test tag A376 applied and detected during start up 12/06/2021 13:38; Test tag A3B5 applied and detected prior to deployment 12/08/2021 12:37; Not flashing when recovered; Solid green LED in Wet Lab during post recovery; Only partial data - battery became,,
Mill_Ck_Conf,MillConf2,Y,N,USFWS,Poytress,441.319,S,19012,ATS,SR3001,SR19012_220307_125317.csv,6.26,A,,40.03399,-122.11945,40.034014,-122.119529,PST,03/07/2022 12:53,100,3/8/2022 11:50:00,5/15/2022 9:32:00,2.8,9.2,2.1,6.9,,,40.034014,-122.119529,3/8/2022 11:50:00,5/15/2022 9:32:00,Shore Cable,"AD, AH","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A376 applied and detected at start up 03/07/2022 13:03; Test tag A376 applied and detected prior to deployment 03/08/2022 11:46; Receiver still had hydrophone cover on when recovered; Test tag A425 applied and detected at recovery 05/15/2022 09:3,,
Mill_Ck_Conf,MillConf2,Y,N,USFWS,Poytress,441.319,S,21143,ATS,SR3001,SR21143_220513_142930.csv,6.49,A,,40.0338,-122.11946,40.034014,-122.119529,PST,05/13/2022 14:24,100,5/15/2022 9:41:00,7/11/2022 8:59:00,2.8,9.2,2.1,6.9,,,40.034014,-122.119529,5/15/2022 9:41:00,7/11/2022 8:59:00,Shore Cable,"AD, CCP","DR, LL",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/13/2022 14:51; Test tag A425 applied and detected prior to deployment 05/15/2022 09:34; Flashing when recovered; Test tag A3EA applied and detected at recovery 07/11/2022 09:07; Test tag A3EA applied and d,,
Mill_Ck_Conf,MillConf1,Y,N,USFWS,Poytress,441.168,S,19045,ATS,SR3001,SR19045_220307_125303.csv,6.4,A,,40.03271,-122.11992,40.03271,-122.11992,PST,03/07/2022 12:53,100,3/8/2022 13:32:00,5/15/2022 9:16:00,2.4,7.9,1.8,5.9,,,40.03271,-122.11992,3/8/2022 13:32:00,5/15/2022 9:16:00,Shore Cable,"AD, AH","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A376 applied and detected at start up 03/07/2022 13:10; Test tag A376 applied and detected prior to deployment 03/08/2022 11:26; Receiver flashing when recovered; Test tag A425 applied and detected during recovery 05/15/2022 09:19; Test tag A425,,
Mill_Ck_Conf,MillConf1,Y,N,USFWS,Poytress,441.168,S,21139,ATS,SR3001,SR21139_220514_164008.csv,6.49,A,,40.03271,-122.11992,40.03271,-122.11992,PST,05/14/2022 16:40,100,5/15/2022 9:24:00,7/11/2022 8:46:00,2.4,7.9,1.8,5.9,,,40.03271,-122.11992,5/15/2022 9:24:00,7/11/2022 8:46:00,Shore Cable,"AD, CCP","DR, LL",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/14/2022 17:02; Test tag A425 applied and detected prior to deployment 05/15/2022 09:19; Flashing when recovered; Test tag A3EA applied and detected at recovery 07/11/2022 08:53; Test tag A3EA applied and d,,
Mill_Ck_Conf,MillConf1,Y,N,USFWS,Poytress,441.168,S,156015,Teknologic,LER - auto 120d,156015213420803.SUM,3.4.43,A,,40.0326,-122.11975,40.03271,-122.11992,PST,12/08/2021 7:48,100,12/8/2021 12:29:00,3/8/2022 11:22:00,2.1,6.9,1.1,3.6,,,40.03271,-122.11992,12/8/2021 12:29:00,3/8/2022 11:22:00,Shore Cable,"DR, AD","AD, AH",RSM,100,USBR-CAT,CS,New Tekno battery charger used; Test tag A3B5 applied and detected at start up 12/08/2021 08:03; Test tag A3B5 applied and detected at deployment 12/08/2021 12:25; Flashing when recovered; no test tag at recovery; Test tag A39A applied and detected during,,
Abv_WoodsonBr,Woodson2,Y,N,USFWS,Poytress,425.159,S,21141,ATS,SR3001,SR21141_220514_163349.csv,6.49,A,,39.91917,-122.08535,39.91917,-122.08519,PST,05/14/2022 16:39,100,5/15/2022 8:26:00,7/11/2022 7:42:00,6.7,22.0,5.7,18.7,,,39.91917,-122.08519,5/15/2022 8:26:00,7/11/2022 7:42:00,Shore Cable,"CCP, AD","DR, LL",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/14/2022 16:51; Test tag A425 applied and detected prior to deployment 05/15/2022 08:08; Flashing when recovered; Test tag A3EA applied and detected during post recovery 07/11/2022 11:09.,,
Abv_WoodsonBr,Woodson2,Y,N,USFWS,Poytress,425.159,S,1900006,Lotek,WHS4350S,L2022_1900006.R1.JST,8,A,,39.91917,-122.08535,39.91917,-122.08519,PST,12/07/2021 14:04,100,12/8/2021 11:26:00,3/14/2022 9:22:00,6.1,20.0,5.3,17.4,6,30,39.91917,-122.08519,12/8/2021 11:26:00,3/14/2022 9:22:00,Shore Cable,"DR, AD","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A3B5 applied and detected during start up 12/07/2021 14:37; Test tag applied but not detected prior to deployment 12/08/2021 11:24 - test tag not applied long enough; Not flashing when recovered; Only partial data - batteries died 02/15/2022 08:9,,
Abv_WoodsonBr,Woodson2,Y,N,USFWS,Poytress,425.159,S,2000043,Lotek,WHS4350S,L2022_2000043.R2.JST,8.6,A,,39.91926,-122.08527,39.91917,-122.08519,PST,03/10/2022 8:03,100,3/14/2022 9:32:00,5/15/2022 8:21:00,6.4,21.0,5.8,19.0,43,30,39.91917,-122.08519,3/14/2022 9:32:00,5/15/2022 8:21:00,Shore Cable,"CCP, AD","AD, CCP",RSM,100,USBR-CAT,CS,Would not allow False Filter to be turned on even w/ beacon set at 30 secs; Test tag A39A applied and detected at start up 03/10/2022 08:10:55; Test tag A39A applied and detected prior to deployment 03/14/2022 09:27; Receiver flashing when recovered; Test,,
